(carboplatin)||carboplatin||carboplatin
hydroxyzine (chlorhydrate d')||chlor||chlorine
amoxicillin;clavulanate potassium||amoxicillin||clavulanic acid
amoxicillin;clavulanate potassium||clavulanate||clavulanic acid
hydroxyzine (hydroxyzine)||hydroxyzin||hydroxyzine
amoxicillin;clavulanate potassium||potassium||potassium
hydroxyzine (hydroxyzine)||hydroxyzine||hydroxyzine
hydroxyzine (hydroxyzine)||hydro||ethanol
amoxicillin;clavulanic acid||clavulanic acid||clavulanic acid
amoxicillin;clavulanic acid||amoxicillin||clavulanic acid
hydroxyzine embonate||hydroxyzin||hydroxyzine
hydroxyzine embonate||hydroxyzine||hydroxyzine
spironolactone (aldactone)||spironolactone||spironolactone
spironolactone (aldactone)||aldactone||spironolactone
hydroxyzine embonate||hydro||ethanol
amoxicillin\clavulanate potassium||amoxicillin||clavulanic acid
spironolactone (spironolactone)||spironolactone||spironolactone
hydroxyzine pam||hydroxyzin||hydroxyzine
amoxicillin\clavulanate potassium||clavulanate||clavulanic acid
amoxicillin\clavulanate potassium||potassium||potassium
hydroxyzine pam||hydroxyzine||hydroxyzine
hydroxyzine pam||hydro||ethanol
d?alpha tocopherol||tocopherol||tocopherol
amoxicilline [amoxicillin]||amoxicillin||clavulanic acid
amoxicilline [amoxicillin]||amoxicilline||amoxicillin
spironolactone (unknown)||spironolactone||spironolactone
noradrenaline [norepinephrine]||norepinephrine||norepinephrine
dabigatran etexilate mesilate||dabigatran etexilate||dabigatran etexilate
dabigatran etexilate mesilate||dabigatran||dabigatran
spironolactone arrow||spironolactone||spironolactone
noradrenaline [norepinephrine]||noradrenaline||norepinephrine
amoxicilline base||amoxicillin||clavulanic acid
amoxicilline base||amoxicilline||amoxicillin
dabrafenib capsule||dabrafenib||dabrafenib
spironolactone teva||spironolactone||spironolactone
noradrenaline mylan||noradrenaline||norepinephrine
dacarbazine (dacarbazine) injection||dacarbazine||dacarbazine
dacarbazine (dacarbazine) injection||dacarbazin||dacarbazine
amoxicilline panpharma||amoxicillin||clavulanic acid
spironolactone-hctz||spironolactone||spironolactone
amoxicilline panpharma||amoxicilline||amoxicillin
dacarbazine (manufacturer unknown)||dacarbazine||dacarbazine
dacarbazine (manufacturer unknown)||dacarbazin||dacarbazine
daclatasvir dihydrochloride||daclatasvir||daclatasvir
amoxil [amoxicillin]||amoxicillin||clavulanic acid
norethindrone [norethisterone]||norethindrone||norethisterone
norethindrone [norethisterone]||norethisterone||norethisterone
amoxil [amoxicillin]||amoxil||amoxicillin
norethindrone [norethisterone]||norethisteron||norethisterone
norethindrone acetate tablets||norethindrone||norethisterone
norethindrone acetate tablets||acetate||acetate
norethindrone acetate tablets||norethindrone acetate||norethisterone
sprycel (cml) tabs 100 mg||sprycel||dasatinib
amphetamine salts||amphetamine||amphetamine
norethisterone acetate||acetate||acetate
hyoscine butylbromide||hyoscine||scopolamine
norethisterone acetate||norethisterone||norethisterone
sprycel (cml) tabs 50 mg||sprycel||dasatinib
norethisterone acetate||norethisteron||norethisterone
hyoscine hydrobromide||hyoscine||scopolamine
hyoscine hydrobromide||hydro||ethanol
amphetamine-dextroamphetamine||amphetamine||amphetamine
amphetamine-dextroamphetamine||dextroamphetamine||dextroamphetamine
dafalgan (paracetamol)||paracetamol||acetaminophen
st. joseph aspirin||aspirin||acetylsalicylic acid
dafalgan codeine||codeine||codeine
dafalgan codeine||codein||codeine
amphetamines||amphetamine||amphetamine
normal saline||saline||sodium chloride
normal saline (sodium chloride)||chloride||chloride ion
normal saline (sodium chloride)||saline||sodium chloride
normal saline (sodium chloride)||chlor||chlorine
normal saline (sodium chloride)||sodium chloride||sodium chloride
normal saline solution||saline||sodium chloride
hypericum perforatum||hypericum||st. john's wort
daflon (diosmin)||diosmin||diosmin
normal saline solution||solution||minoxidil
normal saline solution (0.9% sodium chloride)||chloride||chloride ion
daflon [diosmin;hesperidin]||hesperidin||hesperidin
normal saline solution (0.9% sodium chloride)||0.9% sodium chloride||sodium chloride
stalevo 100||stalevo||entacapone
daflon [diosmin;hesperidin]||diosmin||diosmin
normal saline solution (0.9% sodium chloride)||saline||sodium chloride
normal saline solution (0.9% sodium chloride)||chlor||chlorine
normal saline solution (0.9% sodium chloride)||solution||minoxidil
daflon [diosmin]||diosmin||diosmin
normal saline solution (0.9% sodium chloride)||sodium chloride||sodium chloride
hypertonic saline||saline||sodium chloride
amphotericin b deoxycholate||deoxycholate||deoxycholic acid
statex (morphine sulfate)||sulfate||sulfate ion
statex (morphine sulfate)||morphine||morphine
statex (morphine sulfate)||morphine sulfate||morphine
statex (morphine sulfate)||morphin||morphine
statex [morphine sulfate]||sulfate||sulfate ion
amphotericin b deoxycholate||amphotericin b||amphotericin b
hypertonic saline solution||saline||sodium chloride
statex [morphine sulfate]||morphine||morphine
statex [morphine sulfate]||morphine sulfate||morphine
statex [morphine sulfate]||morphin||morphine
hypertonic saline solution||solution||minoxidil
daily multivitamin||multivitamin||cholecalciferol
amphotericin b lipid complex||amphotericin b||amphotericin b
noroxine||noroxin||norfloxacin
amphotericin b liposomal||amphotericin b||amphotericin b
stemetil [prochlorperazine]||stemetil||prochlorperazine
stemetil [prochlorperazine]||prochlorperazin||prochlorperazine
stemetil [prochlorperazine]||prochlorperazine||prochlorperazine
nortriptyline (nortriptyline)||nortriptyline||nortriptyline
nortriptyline hydrochloride (watson laboratories)||hydro||ethanol
nortriptyline hydrochloride (watson laboratories)||nortriptyline hydrochloride||nortriptyline
nortriptyline hydrochloride (watson laboratories)||nortriptyline||nortriptyline
sterile diluent (water)||sterile||povidone-iodine
sterile diluent (water)||sterile diluent||water
sterile diluent (water)||water||water
sterile diluent (water)||diluent||sodium chloride
i.v. solutions||solution||minoxidil
norvasc (amlodipine besilate)||amlodipine||amlodipine
norvasc (amlodipine besilate)||norvasc||amlodipine
norvasc od||norvasc||amlodipine
steroid antibacterials||antibacterial||benzalkonium
dalbavancin hcl unk||dalbavancin||dalbavancin
dalfampridine 10mg er tab||dalfampridine||dalfampridine
dalfampridine er||dalfampridine||dalfampridine
dalfampridine er 10mg aurobindo pharma||dalfampridine||dalfampridine
novalgin (caffeine\paracetamol\propyphenazone)||propyphenazone||propyphenazone
novalgin (caffeine\paracetamol\propyphenazone)||caffeine||caffeine
novalgin (caffeine\paracetamol\propyphenazone)||paracetamol||acetaminophen
daliresp (roflumilast)||roflumilast||roflumilast
daliresp (roflumilast)||daliresp||roflumilast
stivarga 40mg bayer||bayer||acetylsalicylic acid
novalgin (metamizole sodium)||metamizol||metamizole
novalgin (metamizole sodium)||metamizole||metamizole
stivarga 40mg bayer||stivarga||regorafenib
anacin nos||anacin||caffeine
novalgin [caffeine;paracetamol;propyphenazone]||propyphenazone||propyphenazone
dalteparin sodium||dalteparin||dalteparin
novalgin [caffeine;paracetamol;propyphenazone]||caffeine||caffeine
novalgin [caffeine;paracetamol;propyphenazone]||paracetamol||acetaminophen
stool softener (docusate calcium)||calcium||calcium
danaparoid sodium||danaparoid||danaparoid
stool softener (docusate calcium)||docusate calcium||docusate
stool softener (docusate calcium)||docusate||docusate
stool softener (docusate calcium)||stool softener||docusate
stool softener (docusate sodium)||docusate sodium||docusate
stool softener (docusate sodium)||docusate||docusate
ibuprofen (amallc)||ibuprofen||ibuprofen
stool softener (docusate sodium)||stool softener||docusate
anadin paracetamol||paracetamol||acetaminophen
stool softener (docusate)||docusate||docusate
stool softener (docusate)||stool softener||docusate
ibuprofen (ibuprofen)||ibuprofen||ibuprofen
stool softeners||stool softener||docusate
ibuprofen (non-specific)||ibuprofen||ibuprofen
dapagliflozin propanediol monohydrate||dapagliflozin||dapagliflozin
novamin (prochlorperazine maleate)||prochlorperazin||prochlorperazine
anagrelide hcl||anagrelide||anagrelide
novamin (prochlorperazine maleate)||prochlorperazine||prochlorperazine
novamin (prochlorperazine maleate)||prochlorperazine maleate||prochlorperazine
ibuprofen (unknown)||ibuprofen||ibuprofen
ibuprofen 200 mg 604||ibuprofen 200 mg||ibuprofen
analgesic (unspecified)||analgesic||levomenthol
dapsone unk||dapsone||dapsone
novamin (prochlorperazine)||prochlorperazin||prochlorperazine
ibuprofen 200 mg 604||ibuprofen 200||ibuprofen
novamin (prochlorperazine)||prochlorperazine||prochlorperazine
analgesics||analgesic||levomenthol
ibuprofen 200 mg 604||ibuprofen||ibuprofen
daptomycin accord||daptomycin||daptomycin
ibuprofen 200mg-diphenhydramine citrate 38 mg 8k7||diphen||diphenhydramine
ibuprofen 200mg-diphenhydramine citrate 38 mg 8k7||ibuprofen 200||ibuprofen
ibuprofen 200mg-diphenhydramine citrate 38 mg 8k7||ibuprofen 200mg||ibuprofen
ibuprofen 200mg-diphenhydramine citrate 38 mg 8k7||ibuprofen||ibuprofen
ibuprofen 200mg-diphenhydramine citrate 38 mg 8k7||diphenhydramine||diphenhydramine
ibuprofen 600mg||ibuprofen||ibuprofen
darifenacin hydrobromide||hydro||ethanol
ibuprofen [ibuprofen]||ibuprofen||ibuprofen
anastrozole (anastrozole)||anastrozole||anastrozole
darifenacin hydrobromide||darifenacin||darifenacin
darunavir ethanolate||ethanol||ethanol
suboxone 8 mg||suboxone||buprenorphine
anastrozole (anastrozole)||anastrozol||anastrozole
anastrozole (manufacturer unknown)||anastrozole||anastrozole
darunavir ethanolate||darunavir||darunavir
darunavir;ritonavir||ritonavir||ritonavir
suboxone film||suboxone||buprenorphine
ibuprofen al||ibuprofen||ibuprofen
anastrozole (manufacturer unknown)||anastrozol||anastrozole
anastrozole (unknown)||anastrozole||anastrozole
darunavir;ritonavir||darunavir||darunavir
suboxone tablet||suboxone||buprenorphine
ibuprofen capsules 200 mg||ibuprofen ca||ibuprofen
anastrozole (unknown)||anastrozol||anastrozole
anastrozole accord||anastrozole||anastrozole
ibuprofen capsules 200 mg||ibuprofen||ibuprofen
suboxone unspecified||suboxone||buprenorphine
anastrozole accord||anastrozol||anastrozole
ibuprofen film-coated tablets||ibuprofen||ibuprofen
ibuprofen pseudoephedrine hydrochloride||pseudoephedrine||pseudoephedrine
dasatinib monohydrate||dasatinib||dasatinib
ibuprofen pseudoephedrine hydrochloride||ibuprofen||ibuprofen
novatrex (methotrexate)||methotrexat||methotrexate
ibuprofen pseudoephedrine hydrochloride||pseudoephedrine hydrochloride||pseudoephedrine
sucralfate - bp||sucralfate||sucralfate
novatrex (methotrexate)||methotrexate||methotrexate
ibuprofen pseudoephedrine hydrochloride||hydro||ethanol
sucralfate - bp||sucralfat||sucralfate
sucralfate unk||sucralfate||sucralfate
sucralfate unk||sucralfat||sucralfate
ibuprofen unknown product||ibuprofen||ibuprofen
daunorubicin hcl||daunorubicin||daunorubicin
sudafed [xylometazoline hydrochloride]||xylometazoline||xylometazoline
sudafed [xylometazoline hydrochloride]||hydro||ethanol
sudafed [xylometazoline hydrochloride]||sudafed||pseudoephedrine
ibuprofen?phenylephrine||phenylephrine||phenylephrine
ibuprofen?phenylephrine||ibuprofen||ibuprofen
sufentanil mylan||sufenta||sufentanil
sufentanil mylan||sufentanil||sufentanil
anesthetics||anesthetic||benzocaine
novo heparin||heparin||heparin
ibuprofeno (1769a)||ibuprofen||ibuprofen
sugammadex sodium||sugammadex||sugammadex
ibuprofeno (1769a)||ibuprofeno||ibuprofen
decadron (dexamethasone sodium phosphate)||phosphate||sodium phosphate, monobasic, unspecified form
decadron (dexamethasone sodium phosphate)||dexamethasone sodium phosphate||dexamethasone
decadron (dexamethasone sodium phosphate)||decadron||dexamethasone
decadron (dexamethasone sodium phosphate)||dexamethasone||dexamethasone
decadron (dexamethasone)||decadron||dexamethasone
decadron (dexamethasone)||dexamethasone||dexamethasone
decadron [dexamethasone acetate]||acetate||acetate
decadron [dexamethasone acetate]||dexamethasone acetate||dexamethasone acetate
decadron [dexamethasone acetate]||decadron||dexamethasone
sulbactam sodium||sulbactam||sulbactam
icaps areds||icaps||copper
decadron [dexamethasone acetate]||dexamethasone||dexamethasone
decadron [dexamethasone sodium phosphate]||phosphate||sodium phosphate, monobasic, unspecified form
decadron [dexamethasone sodium phosphate]||dexamethasone sodium phosphate||dexamethasone
decadron [dexamethasone sodium phosphate]||decadron||dexamethasone
decadron [dexamethasone sodium phosphate]||dexamethasone||dexamethasone
icaps lo||icaps||copper
sulfacetamide unk||sulfacetamide||sulfacetamide
sulfacetamide unk||sulfacetamid||sulfacetamide
decadron [dexamethasone]||decadron||dexamethasone
decadron [dexamethasone]||dexamethasone||dexamethasone
decadron phosphate injection||phosphate||sodium phosphate, monobasic, unspecified form
sulfadiazine;trimethoprim||sulfadiazine||sulfadiazine
sulfadiazine;trimethoprim||trimethoprim||trimethoprim
decadron phosphate injection||decadron||dexamethasone
sulfadiazine;trimethoprim||sulfadiazin||sulfadiazine
icaps lz||icaps||copper
decapeptyl (acetate)||acetate||acetate
antacids||antacid||magnesium carbonate
decapeptyl (acetate)||decapeptyl||triptorelin
icaps mv||icaps||copper
sulfamethoxazole trimethoprim||trimethoprim||trimethoprim
sulfamethoxazole trimethoprim||sulfamethoxazole||sulfamethoxazole
sulfamethoxazole-tmp||tmp||tmp
sulfamethoxazole-tmp||sulfamethoxazole||sulfamethoxazole
anti-cholesterol medication||cholesterol||cholesterol
sulfamethoxazole-tmp ds||tmp||tmp
sulfamethoxazole-tmp ds||sulfamethoxazole||sulfamethoxazole
sulfamethoxazole-trime||sulfamethoxazole||sulfamethoxazole
deferoxamine mesilate||deferoxamin||deferoxamine
deferoxamine mesilate||deferoxamine||deferoxamine
sulfamethoxazole-trimethoprim||trimethoprim||trimethoprim
sulfamethoxazole-trimethoprim||sulfamethoxazole||sulfamethoxazole
sulfamethoxazole;trimethoprim||trimethoprim||trimethoprim
sulfamethoxazole;trimethoprim||sulfamethoxazole||sulfamethoxazole
idarubicin hcl||idarubicin||idarubicin
sulfamethoxazole?trimethoprim||trimethoprim||trimethoprim
sulfamethoxazole?trimethoprim||sulfamethoxazole||sulfamethoxazole
idarubicin hydrochloride (manufacturer unknown)||hydro||ethanol
sulfamethoxazole\trimethoprim||trimethoprim||trimethoprim
sulfamethoxazole\trimethoprim||sulfamethoxazole||sulfamethoxazole
idarubicin hydrochloride (manufacturer unknown)||idarubicin hydrochloride||idarubicin
idarubicin hydrochloride (manufacturer unknown)||idarubicin||idarubicin
sulfasalazine delayed?release||sulfasalazin||sulfasalazine
sulfasalazine delayed?release||sulfasalazine||sulfasalazine
deflazacorte||deflazacort||deflazacort
sulfasalazine delayed?release||release||manganese
sulfate ferreux||sulfate||sulfate ion
antibiotics||antibiotic||bacitracin
degarelix acetate||acetate||acetate
degarelix acetate||degarelix||degarelix
antibiotics (antibiotics)||antibiotic||bacitracin
sulfatrim [sulfadiazine;trimethoprim]||sulfadiazine||sulfadiazine
sulfatrim [sulfadiazine;trimethoprim]||trimethoprim||trimethoprim
antibiotics nos||antibiotic||bacitracin
sulfatrim [sulfadiazine;trimethoprim]||sulfatrim||sulfamethoxazole
sulfatrim [sulfadiazine;trimethoprim]||sulfadiazin||sulfadiazine
antibiotics-resistant lactic acid bacteriae||lactic acid||lactic acid
antibiotics-resistant lactic acid bacteriae||antibiotic||bacitracin
anticoagulant citrate dextrose solution (acd) nos||dextrose solution||dextrose, unspecified form
anticoagulant citrate dextrose solution (acd) nos||dextrose||dextrose, unspecified form
anticoagulant citrate dextrose solution (acd) nos||solution||minoxidil
ifosfamide (ifosfamide)||ifosfamide||ifosfamide
delavirdine mesylate||delavirdin||delavirdine
delavirdine mesylate||delavirdine||delavirdine
ifosfamide (manufacturer unknown)||ifosfamide||ifosfamide
ifosfamide eg||ifosfamide||ifosfamide
delix (ramipril)||ramipril||ramipril
delix [ramipril]||ramipril||ramipril
sumatriptan (sumatriptan succinate)||sumatriptan||sumatriptan
ifosfamide injection 2g||ifosfamide||ifosfamide
antifungals||antifungal||miconazole
sumatriptan (sumatriptan succinate)||sumatriptan succinate||sumatriptan
sumatriptan (sumatriptan succinate) solution for injection in pre-fill||sumatriptan||sumatriptan
sumatriptan (sumatriptan succinate) solution for injection in pre-fill||sumatriptan succinate||sumatriptan
sumatriptan (sumatriptan succinate) solution for injection in pre-fill||solution||minoxidil
sumatriptan (sumatriptan succinate) tablet||sumatriptan||sumatriptan
sumatriptan (sumatriptan succinate) tablet||sumatriptan succinate||sumatriptan
sumatriptan (sumatriptan)||sumatriptan||sumatriptan
sumatriptan solution for injection in pre-filled pen||sumatriptan||sumatriptan
sumatriptan solution for injection in pre-filled pen||solution||minoxidil
sumatriptan succinate solution for injection in pre-filled pen||sumatriptan||sumatriptan
sumatriptan succinate solution for injection in pre-filled pen||sumatriptan succinate||sumatriptan
sumatriptan succinate solution for injection in pre-filled pen||solution||minoxidil
sumatriptan succinate tablet||sumatriptan||sumatriptan
sumatriptan succinate tablet||sumatriptan succinate||sumatriptan
sumatriptan succinate tablets||sumatriptan||sumatriptan
sumatriptan succinate tablets||sumatriptan succinate||sumatriptan
sumatriptan tablet||sumatriptan||sumatriptan
antimicrobial (unspecified)||antimicrobial||benzalkonium
sunitinib malate||sunitinib||sunitinib
